genome	target_illumina_depth	polishing	remaining_errors
ATCC_10708_Salmonella_enterica	00.5	pypolca	4014
ATCC_10708_Salmonella_enterica	00.5	pypolca-careful	4078
ATCC_10708_Salmonella_enterica	00.5	HyPo	4106
ATCC_10708_Salmonella_enterica	00.5	FMLRC2	4156
ATCC_10708_Salmonella_enterica	00.5	NextPolish	6846
ATCC_10708_Salmonella_enterica	00.5	Pilon	4124
ATCC_14035_Vibrio_cholerae	00.5	Polypolish	4659
ATCC_14035_Vibrio_cholerae	00.5	Polypolish-careful	4659
ATCC_14035_Vibrio_cholerae	00.5	pypolca	4544
ATCC_14035_Vibrio_cholerae	00.5	pypolca-careful	4627
ATCC_14035_Vibrio_cholerae	00.5	HyPo	4640
ATCC_14035_Vibrio_cholerae	00.5	FMLRC2	19014
ATCC_14035_Vibrio_cholerae	00.5	NextPolish	8203
ATCC_14035_Vibrio_cholerae	00.5	Pilon	4658
ATCC_17802_Vibrio_parahaemolyticus	00.5	Polypolish	4195
ATCC_17802_Vibrio_parahaemolyticus	00.5	Polypolish-careful	4195
ATCC_17802_Vibrio_parahaemolyticus	00.5	pypolca	4074
ATCC_17802_Vibrio_parahaemolyticus	00.5	pypolca-careful	4144
ATCC_17802_Vibrio_parahaemolyticus	00.5	HyPo	4191
ATCC_17802_Vibrio_parahaemolyticus	00.5	FMLRC2	4867
ATCC_17802_Vibrio_parahaemolyticus	00.5	NextPolish	7376
ATCC_17802_Vibrio_parahaemolyticus	00.5	Pilon	4196
ATCC_19119_Listeria_ivanovii	00.5	Polypolish	935
ATCC_19119_Listeria_ivanovii	00.5	Polypolish-careful	935
ATCC_19119_Listeria_ivanovii	00.5	pypolca	914
ATCC_19119_Listeria_ivanovii	00.5	pypolca-careful	924
ATCC_19119_Listeria_ivanovii	00.5	HyPo	935
ATCC_19119_Listeria_ivanovii	00.5	FMLRC2	936
ATCC_19119_Listeria_ivanovii	00.5	NextPolish	2170
ATCC_19119_Listeria_ivanovii	00.5	Pilon	935
ATCC_25922_Escherichia_coli	00.5	Polypolish	5500
ATCC_25922_Escherichia_coli	00.5	Polypolish-careful	5501
ATCC_25922_Escherichia_coli	00.5	pypolca	5405
ATCC_25922_Escherichia_coli	00.5	pypolca-careful	5462
ATCC_25922_Escherichia_coli	00.5	HyPo	5490
ATCC_25922_Escherichia_coli	00.5	FMLRC2	12170
ATCC_25922_Escherichia_coli	00.5	NextPolish	8274
ATCC_25922_Escherichia_coli	00.5	Pilon	5503
ATCC_33560_Campylobacter_jejuni	00.5	Polypolish	2534
ATCC_33560_Campylobacter_jejuni	00.5	Polypolish-careful	2534
ATCC_33560_Campylobacter_jejuni	00.5	pypolca	2460
ATCC_33560_Campylobacter_jejuni	00.5	pypolca-careful	2515
ATCC_33560_Campylobacter_jejuni	00.5	HyPo	2530
ATCC_33560_Campylobacter_jejuni	00.5	FMLRC2	2537
ATCC_33560_Campylobacter_jejuni	00.5	NextPolish	3104
ATCC_33560_Campylobacter_jejuni	00.5	Pilon	2534
ATCC_35221_Campylobacter_lari	00.5	Polypolish	2738
ATCC_35221_Campylobacter_lari	00.5	Polypolish-careful	2738
ATCC_35221_Campylobacter_lari	00.5	pypolca	2661
ATCC_35221_Campylobacter_lari	00.5	pypolca-careful	2715
ATCC_35221_Campylobacter_lari	00.5	HyPo	2724
ATCC_35221_Campylobacter_lari	00.5	FMLRC2	2807
ATCC_35221_Campylobacter_lari	00.5	NextPolish	3194
ATCC_35221_Campylobacter_lari	00.5	Pilon	2739
ATCC_35897_Listeria_welshimeri	00.5	Polypolish	668
ATCC_35897_Listeria_welshimeri	00.5	Polypolish-careful	668
ATCC_35897_Listeria_welshimeri	00.5	pypolca	668
ATCC_35897_Listeria_welshimeri	00.5	pypolca-careful	664
ATCC_35897_Listeria_welshimeri	00.5	HyPo	670
ATCC_35897_Listeria_welshimeri	00.5	FMLRC2	668
ATCC_35897_Listeria_welshimeri	00.5	NextPolish	3516
ATCC_35897_Listeria_welshimeri	00.5	Pilon	668
ATCC_BAA-679_Listeria_monocytogenes	00.5	Polypolish	793
ATCC_BAA-679_Listeria_monocytogenes	00.5	Polypolish-careful	793
ATCC_BAA-679_Listeria_monocytogenes	00.5	pypolca	779
ATCC_BAA-679_Listeria_monocytogenes	00.5	pypolca-careful	784
ATCC_BAA-679_Listeria_monocytogenes	00.5	HyPo	793
ATCC_BAA-679_Listeria_monocytogenes	00.5	FMLRC2	799
ATCC_BAA-679_Listeria_monocytogenes	00.5	NextPolish	3324
ATCC_BAA-679_Listeria_monocytogenes	00.5	Pilon	792
ATCC_10708_Salmonella_enterica	00.6	Polypolish	4120
ATCC_10708_Salmonella_enterica	00.6	Polypolish-careful	4120
ATCC_10708_Salmonella_enterica	00.6	pypolca	4001
ATCC_10708_Salmonella_enterica	00.6	pypolca-careful	4066
ATCC_10708_Salmonella_enterica	00.6	HyPo	4106
ATCC_10708_Salmonella_enterica	00.6	FMLRC2	4123
ATCC_10708_Salmonella_enterica	00.6	NextPolish	7272
ATCC_10708_Salmonella_enterica	00.6	Pilon	4122
ATCC_14035_Vibrio_cholerae	00.6	Polypolish	4657
ATCC_14035_Vibrio_cholerae	00.6	Polypolish-careful	4657
ATCC_14035_Vibrio_cholerae	00.6	pypolca	4511
ATCC_14035_Vibrio_cholerae	00.6	pypolca-careful	4613
ATCC_14035_Vibrio_cholerae	00.6	HyPo	4633
ATCC_14035_Vibrio_cholerae	00.6	FMLRC2	5816
ATCC_14035_Vibrio_cholerae	00.6	NextPolish	8193
ATCC_14035_Vibrio_cholerae	00.6	Pilon	4659
ATCC_17802_Vibrio_parahaemolyticus	00.6	Polypolish	4186
ATCC_17802_Vibrio_parahaemolyticus	00.6	Polypolish-careful	4187
ATCC_17802_Vibrio_parahaemolyticus	00.6	pypolca	4051
ATCC_17802_Vibrio_parahaemolyticus	00.6	pypolca-careful	4136
ATCC_17802_Vibrio_parahaemolyticus	00.6	HyPo	4181
ATCC_17802_Vibrio_parahaemolyticus	00.6	FMLRC2	11882
ATCC_17802_Vibrio_parahaemolyticus	00.6	NextPolish	7979
ATCC_17802_Vibrio_parahaemolyticus	00.6	Pilon	4189
ATCC_19119_Listeria_ivanovii	00.6	Polypolish	934
ATCC_19119_Listeria_ivanovii	00.6	Polypolish-careful	934
ATCC_19119_Listeria_ivanovii	00.6	pypolca	910
ATCC_19119_Listeria_ivanovii	00.6	pypolca-careful	919
ATCC_19119_Listeria_ivanovii	00.6	HyPo	933
ATCC_19119_Listeria_ivanovii	00.6	FMLRC2	934
ATCC_19119_Listeria_ivanovii	00.6	NextPolish	2291
ATCC_19119_Listeria_ivanovii	00.6	Pilon	935
ATCC_25922_Escherichia_coli	00.6	Polypolish	5494
ATCC_25922_Escherichia_coli	00.6	Polypolish-careful	5494
ATCC_25922_Escherichia_coli	00.6	pypolca	5306
ATCC_25922_Escherichia_coli	00.6	pypolca-careful	5427
ATCC_25922_Escherichia_coli	00.6	HyPo	5480
ATCC_25922_Escherichia_coli	00.6	FMLRC2	10749
ATCC_25922_Escherichia_coli	00.6	NextPolish	9307
ATCC_25922_Escherichia_coli	00.6	Pilon	5501
ATCC_33560_Campylobacter_jejuni	00.6	Polypolish	2530
ATCC_33560_Campylobacter_jejuni	00.6	Polypolish-careful	2530
ATCC_33560_Campylobacter_jejuni	00.6	pypolca	2434
ATCC_33560_Campylobacter_jejuni	00.6	pypolca-careful	2493
ATCC_33560_Campylobacter_jejuni	00.6	HyPo	2526
ATCC_33560_Campylobacter_jejuni	00.6	FMLRC2	2536
ATCC_33560_Campylobacter_jejuni	00.6	NextPolish	3137
ATCC_33560_Campylobacter_jejuni	00.6	Pilon	2531
ATCC_35221_Campylobacter_lari	00.6	Polypolish	2729
ATCC_35221_Campylobacter_lari	00.6	Polypolish-careful	2729
ATCC_35221_Campylobacter_lari	00.6	pypolca	2617
ATCC_35221_Campylobacter_lari	00.6	pypolca-careful	2691
ATCC_35221_Campylobacter_lari	00.6	HyPo	2718
ATCC_35221_Campylobacter_lari	00.6	FMLRC2	2733
ATCC_35221_Campylobacter_lari	00.6	NextPolish	3325
ATCC_35221_Campylobacter_lari	00.6	Pilon	2728
ATCC_35897_Listeria_welshimeri	00.6	Polypolish	668
ATCC_35897_Listeria_welshimeri	00.6	Polypolish-careful	668
ATCC_35897_Listeria_welshimeri	00.6	pypolca	661
ATCC_35897_Listeria_welshimeri	00.6	pypolca-careful	663
ATCC_35897_Listeria_welshimeri	00.6	HyPo	668
ATCC_35897_Listeria_welshimeri	00.6	FMLRC2	2233
ATCC_35897_Listeria_welshimeri	00.6	NextPolish	4026
ATCC_35897_Listeria_welshimeri	00.6	Pilon	668
ATCC_BAA-679_Listeria_monocytogenes	00.6	Polypolish	795
